crossover,selection_parents_method,rate_PMUT,mutation,mean_bestfitness,mean_convergence
uniform,roulette,0.05,flip,185281.55370434083,46.8
uniform,roulette,0.05,multiflip,184917.68408689293,47.9
uniform,roulette,0.5,flip,185964.38332298392,63.2
uniform,roulette,0.5,multiflip,184592.10495167665,70.5
uniform,roulette,1.0,flip,186089.07522057238,88.3
uniform,roulette,1.0,multiflip,165849.5005146297,0.0
uniform,tournament,0.05,flip,182714.65590656182,19.8
uniform,tournament,0.05,multiflip,181692.88645383788,18.7
uniform,tournament,0.5,flip,184736.0202349844,30.3
uniform,tournament,0.5,multiflip,182909.21428165445,26.8
uniform,tournament,1.0,flip,186279.4947559137,70.8
uniform,tournament,1.0,multiflip,169481.30306009288,0.0
onepoint,roulette,0.05,flip,178017.46104957393,18.3
onepoint,roulette,0.05,multiflip,177067.89264724625,19.4
onepoint,roulette,0.5,flip,182921.54646744032,54.5
onepoint,roulette,0.5,multiflip,176728.85904364468,26.0
onepoint,roulette,1.0,flip,184798.711215844,93.0
onepoint,roulette,1.0,multiflip,169389.9883350499,0.0
onepoint,tournament,0.05,flip,173932.2170625291,6.4
onepoint,tournament,0.05,multiflip,173819.5483295864,6.2
onepoint,tournament,0.5,flip,179560.21870839506,21.1
onepoint,tournament,0.5,multiflip,174945.27411209792,10.5
onepoint,tournament,1.0,flip,186234.10743755233,80.8
onepoint,tournament,1.0,multiflip,167433.96840803445,0.0
